"Option","Cost","CO2","NOx","SO2","PM2.5","CH4","VOC","CO","NH3","BC","N2O"
"Large Solar Park",4000,60,0,0,0,0,0,0,0,0,0
"Small Solar Installations",1200,18,0,0,0,0,0,0,0,0,0
"Wind Farm",3800,55,0,0,0,0,0,0,0,0,0
"Gas-to-renewables conversion",3200,25,1,0.2,0.1,1.5,0.5,2,0.05,0.01,0.3
"Boiler Retrofit",1400,20,0.9,0.4,0.2,0.1,0.05,1.2,0.02,0.01,0.05
"Catalytic Converters for Buses",2600,30,2.8,0.6,0.8,0,0.5,5,0.01,0.05,0.02
"Diesel Bus Replacement",5000,48,3.2,0.9,1,0,0.7,6,0.02,0.08,0.03
"Traffic Signal/Flow Upgrade",1000,12,0.6,0.1,0.4,0.05,0.2,3,0.02,0.02,0.01
"Low-Emission Stove Program",180,2,0.02,0.01,0.7,0,0.01,1.5,0.03,0.2,0
"Residential Insulation/Efficiency",900,15,0.1,0.05,0.05,0.02,0.02,0.5,0,0,0.01
"Industrial Scrubbers",4200,6,0.4,6,0.4,0,0.1,0.6,0.01,0.01,0
"Waste Methane Capture System",3600,28,0.2,0.1,0.05,8,0.2,0.1,0,0,0.05
"Landfill Gas-to-energy",3400,24,0.15,0.05,0.03,6.5,0.1,0.05,0,0,0.03
"Reforestation (acre-package)",220,3.5,0.04,0.02,0.01,0.8,0.03,0.1,0.01,0.005,0.005
"Urban Tree Canopy Program (street trees)",300,4.2,0.06,0.01,0.03,0.6,0.02,0.15,0.005,0.02,0.002
"Industrial Energy Efficiency Retrofit",1600,22,0.5,0.3,0.15,0.2,0.1,1,0.01,0.01,0.03
"Natural Gas Leak Repair",1800,10,0.05,0.01,0.01,4,0.02,0.02,0,0,0.01
"Agricultural Methane Reduction",2800,8,0.02,0.01,0.02,7.2,0.05,0.02,0.1,0,0.05
"Clean Cookstove & Fuel Switching",450,3.2,0.04,0.02,0.9,0.1,0.02,2,0.05,0.25,0
"Rail Electrification",6000,80,2,0.4,1.2,0,0.6,10,0.02,0.1,0.05
"EV Charging Infrastructure",2200,20,0.3,0.05,0.1,0,0.05,0.5,0.01,0.01,0.01
"Biochar for soils (per project unit)",1400,6,0.01,0,0.01,2.5,0.01,0.01,0.2,0,0.02
"Industrial VOC",2600,2,0.01,0,0,0,6.5,0.1,0,0,0
"Heavy-Duty Truck Retrofit",4200,36,2.2,0.6,0.6,0,0.3,4.2,0.01,0.04,0.02
"Port/Harbor Electrification",4800,28,1.9,0.8,0.7,0,0.2,3.6,0.01,0.03,0.02
"Black Carbon reduction",600,1.8,0.02,0.01,0.6,0.05,0.01,1,0.02,0.9,0
"Wetlands restoration",1800,10,0.03,0.02,0.02,3.2,0.01,0.05,0.15,0.02,0.04
"Household LPG conversion program",700,2.5,0.03,0.01,0.4,0.05,0.02,1.2,0.03,0.1,0
"Industrial process change",5000,3,0.02,0.01,0,0,0,0,0,0,1.5
"Behavioral demand-reduction program",400,9,0.4,0.05,0.05,0.01,0.3,2.5,0.01,0.01,0.01
